ID,X,Y,LogPos
1,140,735,I102-1
2,175,735,I102-2
3,210,735,I102-3
4,246,735,I102-4
5,282,735,I102-5
6,317,735,I102-6
7,353,735,I102-7
8,383,735,I102-8
9,140,770,I102-9
10,175,770,I102-10
11,210,770,I102-11
12,246,770,I102-12
13,282,770,I102-13
14,317,770,I102-14
15,353,770,I102-15
16,383,770,I102-16
17,140,806,I102-17
18,175,806,I102-18
19,210,806,I102-19
20,246,806,I102-20
21,282,806,I102-21
22,317,806,I102-22
23,353,806,I102-23
24,383,806,I102-24
25,140,841,I102-25
26,175,841,I102-26
27,210,841,I102-27
28,246,841,I102-28
29,282,841,I102-29
30,317,841,I102-30
31,353,841,I102-31
32,383,841,I102-32
33,140,876,I102-33
34,175,876,I102-34
35,210,876,I102-35
36,246,876,I102-36
37,282,876,I102-37
38,317,876,I102-38
39,353,876,I102-39
40,383,876,I102-40
41,1369,934,I104-1
42,1369,970,I104-2
43,1369,1005,I104-3
44,1369,1041,I104-4
45,1369,1076,I104-5
46,1369,1113,I104-6
47,1369,1147,I104-7
48,1369,1183,I104-8
49,1369,1218,I104-9
50,1369,1254,I104-10
51,1404,934,I104-11
52,1404,970,I104-12
53,1404,1005,I104-13
54,1404,1041,I104-14
55,1404,1076,I104-15
56,1404,1113,I104-16
57,1404,1147,I104-17
58,1404,1183,I104-18
59,1404,1218,I104-19
60,1404,1254,I104-20
61,1440,934,I104-21
62,1440,970,I104-22
63,1440,1005,I104-23
64,1440,1041,I104-24
65,1440,1076,I104-25
66,1440,1113,I104-26
67,1440,1147,I104-27
68,1440,1183,I104-28
69,1440,1218,I104-29
70,1440,1254,I104-30
71,1475,934,I104-31
72,1475,970,I104-32
73,1475,1005,I104-33
74,1475,1041,I104-34
75,1475,1076,I104-35
76,1475,1113,I104-36
77,1475,1147,I104-37
78,1475,1183,I104-38
79,1475,1218,I104-39
80,1475,1254,I104-40
81,1511,934,I104-41
82,1511,970,I104-42
83,1511,1005,I104-43
84,1511,1041,I104-44
85,1511,1076,I104-45
86,1511,1113,I104-46
87,1511,1147,I104-47
88,1511,1183,I104-48
89,1511,1218,I104-49
90,1511,1254,I104-50
91,1546,934,I104-51
92,1546,970,I104-52
93,1546,1005,I104-53
94,1546,1041,I104-54
95,1546,1076,I104-55
96,1546,1113,I104-56
97,1546,1147,I104-57
98,1546,1183,I104-58
99,1546,1218,I104-59
100,1546,1254,I104-60
101,1580,934,I104-61
102,1580,970,I104-62
103,1580,1005,I104-63
104,1580,1041,I104-64
105,1580,1076,I104-65
106,1580,1113,I104-66
107,1580,1147,I104-67
108,1580,1183,I104-68
109,1580,1218,I104-69
110,1580,1254,I104-70
111,1617,934,I104-71
112,1617,970,I104-72
113,1617,1005,I104-73
114,1617,1041,I104-74
115,1617,1076,I104-75
116,1617,1113,I104-76
117,1617,1147,I104-77
118,1617,1183,I104-78
119,1617,1218,I104-79
120,1617,1254,I104-80
121,1653,934,I104-81
122,1653,970,I104-82
123,1030,989,I105-1
124,1030,1025,I105-2
125,1030,1060,I105-3
126,1030,1096,I105-4
127,1030,1131,I105-5
128,1030,1167,I105-6
129,1030,1202,I105-7
130,1030,1238,I105-8
131,1030,1273,I105-9
132,1060,989,I105-10
133,1060,1025,I105-11
134,1060,1060,I105-12
135,1060,1096,I105-13
136,1060,1131,I105-14
137,1060,1167,I105-15
138,1060,1202,I105-16
139,1060,1238,I105-17
140,1060,1273,I105-18
141,1101,989,I105-19
142,1101,1025,I105-20
143,1101,1060,I105-21
144,1101,1096,I105-22
145,1101,1131,I105-23
146,1101,1167,I105-24
147,1101,1202,I105-25
148,1101,1238,I105-26
149,1101,1273,I105-27
150,1136,989,I105-28
151,1136,1025,I105-29
152,1136,1060,I105-30
153,1136,1096,I105-31
154,1136,1131,I105-32
155,1136,1167,I105-33
156,1136,1202,I105-34
157,1136,1238,I105-35
158,1136,1273,I105-36
159,1172,989,I105-37
160,1172,1025,I105-38
161,1172,1060,I105-39
162,1172,1096,I105-40
163,1172,1131,I105-41
164,1172,1167,I105-42
165,1172,1202,I105-43
166,1172,1238,I105-44
167,1172,1273,I105-45
168,1207,989,I105-46
169,1207,1025,I105-47
170,1207,1060,I105-48
171,1207,1096,I105-49
172,1207,1131,I105-50
173,1207,1167,I105-51
174,1207,1202,I105-52
175,1207,1238,I105-53
176,1207,1273,I105-54
177,1243,989,I105-55
178,1243,1025,I105-56
179,1243,1060,I105-57
180,1243,1096,I105-58
181,1243,1131,I105-59
182,1243,1167,I105-60
183,1243,1202,I105-61
184,1243,1238,I105-62
185,1243,1273,I105-63
186,1278,989,I105-64
187,1278,1025,I105-65
188,1278,1060,I105-66
189,1278,1096,I105-67
190,1278,1131,I105-68
191,1278,1167,I105-69
192,1278,1202,I105-70
193,1278,1238,I105-71
194,1278,1273,I105-72
195,1314,989,I105-73
196,1314,1025,I105-74
197,1314,1060,I105-75
198,1314,1096,I105-76
199,1314,1131,I105-77
200,1314,1167,I105-78
201,1314,1202,I105-79
202,1314,1238,I105-80
203,1314,1273,I105-81
204,696,989,I106-1
205,696,1025,I106-2
206,696,1060,I106-3
207,696,1096,I106-4
208,696,1131,I106-5
209,696,1167,I106-6
210,696,1202,I106-7
211,696,1238,I106-8
212,696,1273,I106-9
213,731,989,I106-10
214,731,1025,I106-11
215,731,1060,I106-12
216,731,1096,I106-13
217,731,1131,I106-14
218,731,1167,I106-15
219,731,1202,I106-16
220,731,1238,I106-17
221,731,1273,I106-18
222,767,989,I106-19
223,767,1025,I106-20
224,767,1060,I106-21
225,767,1096,I106-22
226,767,1131,I106-23
227,767,1167,I106-24
228,767,1202,I106-25
229,767,1238,I106-26
230,767,1273,I106-27
231,802,989,I106-28
232,802,1025,I106-29
233,802,1060,I106-30
234,802,1096,I106-31
235,802,1131,I106-32
236,802,1167,I106-33
237,802,1202,I106-34
238,802,1238,I106-35
239,802,1273,I106-36
240,838,989,I106-37
241,838,1025,I106-38
242,838,1060,I106-39
243,838,1096,I106-40
244,838,1131,I106-41
245,838,1167,I106-42
246,838,1202,I106-43
247,838,1238,I106-44
248,838,1273,I106-45
249,873,989,I106-46
250,873,1025,I106-47
251,873,1060,I106-48
252,873,1096,I106-49
253,873,1131,I106-50
254,873,1167,I106-51
255,873,1202,I106-52
256,873,1238,I106-53
257,873,1273,I106-54
258,909,989,I106-55
259,909,1025,I106-56
260,909,1060,I106-57
261,909,1096,I106-58
262,909,1131,I106-59
263,909,1167,I106-60
264,909,1202,I106-61
265,909,1238,I106-62
266,909,1273,I106-63
267,944,989,I106-64
268,944,1025,I106-65
269,944,1060,I106-66
270,944,1096,I106-67
271,944,1131,I106-68
272,944,1167,I106-69
273,944,1202,I106-70
274,944,1238,I106-71
275,944,1273,I106-72
276,980,989,I106-73
277,980,1025,I106-74
278,980,1060,I106-75
279,980,1096,I106-76
280,980,1131,I106-77
281,980,1167,I106-78
282,980,1202,I106-79
283,980,1238,I106-80
284,980,1273,I106-81
285,526,1040,I108-1
286,526,1076,I108-2
287,526,1111,I108-3
288,526,1147,I108-4
289,526,1182,I108-5
290,526,1218,I108-6
291,526,1253,I108-7
292,490,1040,I108-8
293,490,1076,I108-9
294,490,1111,I108-10
295,490,1147,I108-11
296,490,1182,I108-12
297,490,1218,I108-13
298,490,1253,I108-14
299,455,1040,I108-15
300,455,1076,I108-16
301,455,1111,I108-17
