PosX,PosY,PosZ,BSSID,RSSI
1286,858,0,48:8b:0a:ca:a8:0d,-37.4
1286,858,0,48:8b:0a:ca:a8:0b,-37.4
1286,858,0,48:8b:0a:ca:a8:0c,-37.4
1286,858,0,48:8b:0a:ca:a8:0e,-38.3
1286,858,0,48:8b:0a:ca:a8:0f,-38.3
526,1111,0,70:b3:17:8e:1c:0e,-38.4
526,1111,0,70:b3:17:8e:1c:0d,-38.4
526,1111,0,70:b3:17:8e:1c:0b,-39.4
526,1111,0,70:b3:17:8e:1c:0c,-40.3
793,371,0,48:8b:0a:cb:67:eb,-40.6
793,371,0,48:8b:0a:cb:67:ed,-40.6
793,371,0,48:8b:0a:cb:67:ec,-40.6
793,371,0,48:8b:0a:cb:67:ee,-40.6
1220,912,0,48:8b:0a:ca:a8:0f,-41.0
1256,912,0,48:8b:0a:ca:a8:0f,-41.0
1185,912,0,48:8b:0a:ca:a8:0f,-41.0
793,371,0,48:8b:0a:cb:67:ef,-41.2
526,1147,0,70:b3:17:8e:1c:0d,-42.0
526,1147,0,70:b3:17:8e:1c:0e,-42.0
526,1111,0,70:b3:17:8e:1c:0f,-42.3
526,1040,0,70:b3:17:8e:1c:0e,-42.6
526,1147,0,70:b3:17:8e:1c:0b,-42.75
526,1147,0,70:b3:17:8e:1c:0c,-42.875
526,1040,0,70:b3:17:8e:1c:0d,-42.9
526,1040,0,70:b3:17:8e:1c:0c,-42.9
526,1040,0,70:b3:17:8e:1c:0f,-42.9
526,1040,0,70:b3:17:8e:1c:0b,-42.9
793,336,0,48:8b:0a:cb:67:eb,-43.0
793,336,0,48:8b:0a:cb:67:ee,-43.0
793,336,0,48:8b:0a:cb:67:ed,-43.0
793,265,0,48:8b:0a:cb:67:eb,-43.0
793,336,0,48:8b:0a:cb:67:ef,-43.0
793,336,0,48:8b:0a:cb:67:ec,-43.0
793,265,0,48:8b:0a:cb:67:ec,-43.0
793,265,0,48:8b:0a:cb:67:ed,-43.0
793,265,0,48:8b:0a:cb:67:ef,-43.0
757,300,0,48:8b:0a:cb:67:ec,-43.0
793,300,0,48:8b:0a:cb:67:ed,-43.0
793,300,0,48:8b:0a:cb:67:ec,-43.0
793,300,0,48:8b:0a:cb:67:eb,-43.0
793,300,0,48:8b:0a:cb:67:ef,-43.0
757,300,0,48:8b:0a:cb:67:ed,-43.0
757,300,0,48:8b:0a:cb:67:eb,-43.0
757,300,0,48:8b:0a:cb:67:ee,-43.0
757,300,0,48:8b:0a:cb:67:ef,-43.0
793,300,0,48:8b:0a:cb:67:ee,-43.0
793,265,0,48:8b:0a:cb:67:ee,-43.0
580,229,0,48:8b:0a:cb:67:ef,-43.375
1286,822,0,48:8b:0a:ca:a8:0e,-43.6
1286,822,0,48:8b:0a:ca:a8:0d,-43.6
1286,822,0,48:8b:0a:ca:a8:0c,-43.6
1286,822,0,48:8b:0a:ca:a8:0b,-43.7
686,87,0,48:8b:0a:cb:67:eb,-44.0
1412,190,0,48:8b:0a:cb:69:2d,-44.0
1554,367,0,48:8b:0a:cb:69:2b,-44.0
1519,296,0,48:8b:0a:cb:69:2c,-44.0
1278,1238,0,78:bc:1a:37:7e:0d,-44.0
1519,296,0,48:8b:0a:cb:69:2b,-44.0
1483,119,0,48:8b:0a:cb:69:2d,-44.0
1251,822,0,48:8b:0a:ca:a8:0b,-44.0
1554,332,0,48:8b:0a:cb:69:2e,-44.0
526,1111,0,70:b3:17:8e:1c:04,-44.0
1554,332,0,48:8b:0a:cb:69:2c,-44.0
1554,332,0,48:8b:0a:cb:69:2b,-44.0
1251,822,0,48:8b:0a:ca:a8:0c,-44.0
1251,822,0,48:8b:0a:ca:a8:0d,-44.0
1554,367,0,48:8b:0a:cb:69:2c,-44.0
1412,225,0,48:8b:0a:cb:69:2e,-44.0
1554,367,0,48:8b:0a:cb:69:2e,-44.0
1215,822,0,48:8b:0a:ca:a8:0b,-44.0
1412,190,0,48:8b:0a:cb:69:2e,-44.0
1519,332,0,48:8b:0a:cb:69:2e,-44.0
1412,119,0,48:8b:0a:cb:69:2b,-44.0
1483,154,0,48:8b:0a:cb:69:23,-44.0
1215,822,0,48:8b:0a:ca:a8:0e,-44.0
1215,822,0,48:8b:0a:ca:a8:0d,-44.0
1215,822,0,48:8b:0a:ca:a8:0c,-44.0
1519,332,0,48:8b:0a:cb:69:2c,-44.0
1278,1238,0,78:bc:1a:37:7e:0c,-44.0
1519,332,0,48:8b:0a:cb:69:2b,-44.0
1483,154,0,48:8b:0a:cb:69:2d,-44.0
1412,119,0,48:8b:0a:cb:69:2c,-44.0
1412,119,0,48:8b:0a:cb:69:2d,-44.0
1519,296,0,48:8b:0a:cb:69:2e,-44.0
1483,83,0,48:8b:0a:cb:69:2d,-44.0
651,336,0,48:8b:0a:cb:67:eb,-44.0
1412,154,0,48:8b:0a:cb:69:2d,-44.0
1251,822,0,48:8b:0a:ca:a8:0e,-44.0
1412,225,0,48:8b:0a:cb:69:2b,-44.0
1412,119,0,48:8b:0a:cb:69:2e,-44.0
1412,190,0,48:8b:0a:cb:69:2c,-44.0
1412,190,0,48:8b:0a:cb:69:2b,-44.0
1519,261,0,48:8b:0a:cb:69:2e,-44.0
1412,225,0,48:8b:0a:cb:69:2c,-44.0
1483,261,0,48:8b:0a:cb:69:20,-44.0
526,1147,0,70:b3:17:8e:1c:04,-44.0
651,371,0,48:8b:0a:cb:67:eb,-44.0
1412,154,0,48:8b:0a:cb:69:2c,-44.0
